WaveLength,MFMS Default,IC Env,PDOM Env
2.600000E-07,1.169756E-04,7.459316E-05,7.534662E-05
2.700000E-07,1.169756E-04,1.096363E-04,1.107437E-04
2.800000E-07,1.169756E-04,9.956147E-05,1.005671E-04
2.900000E-07,1.169756E-04,7.726632E-05,7.804678E-05
3.000000E-07,3.984880E-05,3.536908E-05,3.572634E-05
3.100000E-07,2.427622E-03,2.274200E-03,2.297172E-03
3.200000E-07,1.007426E-02,9.802666E-03,9.901683E-03
3.300000E-07,3.073507E-02,3.028562E-02,3.059154E-02
3.400000E-07,6.526103E-02,6.331854E-02,6.395812E-02
3.500000E-07,1.112084E-01,1.067860E-01,1.078647E-01
3.600000E-07,1.352334E-01,1.288112E-01,1.301124E-01
3.700000E-07,1.642173E-01,1.540202E-01,1.555759E-01
3.800000E-07,1.799300E-01,1.656771E-01,1.673506E-01
3.900000E-07,1.917547E-01,1.725219E-01,1.742646E-01
4.000000E-07,2.011676E-01,1.762680E-01,1.780485E-01
4.100000E-07,2.070651E-01,1.766187E-01,1.784028E-01
4.200000E-07,2.074476E-01,1.733039E-01,1.750544E-01
4.300000E-07,2.021937E-01,1.669877E-01,1.686745E-01
4.400000E-07,1.959553E-01,1.615600E-01,1.631920E-01
4.500000E-07,1.893779E-01,1.571069E-01,1.586938E-01
4.600000E-07,1.808662E-01,1.499689E-01,1.514838E-01
4.700000E-07,1.687909E-01,1.383736E-01,1.397713E-01
4.800000E-07,1.586639E-01,1.281335E-01,1.294278E-01
4.900000E-07,1.508848E-01,1.200935E-01,1.213065E-01
5.000000E-07,1.446145E-01,1.127941E-01,1.139334E-01
5.100000E-07,1.371051E-01,1.053283E-01,1.063922E-01
5.200000E-07,1.203387E-01,9.369328E-02,9.463968E-02
5.300000E-07,9.669553E-02,7.750839E-02,7.829130E-02
5.400000E-07,7.938831E-02,6.338103E-02,6.402124E-02
5.500000E-07,6.813728E-02,5.176747E-02,5.229037E-02
5.600000E-07,6.033486E-02,4.271428E-02,4.314574E-02
5.700000E-07,5.296102E-02,3.511773E-02,3.547245E-02
5.800000E-07,4.593109E-02,2.928939E-02,2.958525E-02
5.900000E-07,3.828132E-02,2.441128E-02,2.465785E-02
6.000000E-07,3.147892E-02,2.007352E-02,2.027628E-02
6.100000E-07,2.457047E-02,1.566812E-02,1.582639E-02
6.200000E-07,1.912054E-02,1.219281E-02,1.231597E-02
6.300000E-07,1.305514E-02,8.325018E-03,8.409109E-03
6.400000E-07,8.781639E-03,5.599886E-03,5.656450E-03
6.500000E-07,5.277718E-03,3.365502E-03,3.399496E-03
6.600000E-07,3.231252E-03,2.060509E-03,2.081322E-03
6.700000E-07,2.074567E-03,1.322912E-03,1.336275E-03
6.800000E-07,9.230763E-04,5.886284E-04,5.945741E-04
6.900000E-07,9.230763E-04,5.886284E-04,5.945741E-04